,Plant_ID,Plant_Name,LAT,LON,Plant_Fueltype,CO2EQ_2023,Plant_Nameplate_Capacity,Cap_Factor
7,79,Aurora Energy LLC Chena,64.847743,-147.735063,COAL,138827.12,27.5,0.5951
28,50392,Eielson AFB Central Heat & Power Plant,64.67141,-147.075988,COAL,50514.21,26.0,0.38145
51,6288,Healy Power Plant,63.8542,-148.95,COAL,173641.67,92.8,0.46225
142,50711,University of Alaska Fairbanks,64.854171,-147.822075,COAL,42092.46,39.6,0.19763
144,50308,Utility Plants Section,64.825601,-147.648627,COAL,42207.38,20.0,0.36541
173,26,E C Gaston,33.244211,-86.458056,COAL,3293190.85,2034.0,0.19081
189,6002,James H Miller Jr,33.6319,-87.0597,COAL,18240458.88,2822.0,0.641
261,6138,Flint Creek Power Plant,36.2561,-94.5241,COAL,2510832.21,558.0,0.42247
273,6641,Independence,35.678442,-91.408761,COAL,6127938.61,1800.0,0.30081
274,56564,John W. Turk Jr. Power Plant,33.649722,-93.811944,COAL,3190340.96,609.0,0.58341
296,56456,Plum Point Energy Station,35.6644,-89.9489,COAL,3720261.75,720.0,0.53617
315,6009,White Bluff,34.4228,-92.1406,COAL,4381738.76,1800.0,0.22583
330,160,Apache Station,32.0603,-109.8931,COAL,1488741.94,660.7,0.34251
349,113,Cholla,34.9394,-110.3033,COAL,2287632.11,425.9,0.47916
354,6177,Coronado Generating Station,34.5789,-109.2708,COAL,4032509.4,821.8,0.42813
453,8223,Springerville Generating Station,34.3186,-109.1639,COAL,7739709.1,1779.2,0.43204
588,10684,Argus Cogen Plant,35.765,-117.3833,COAL,139677.77,62.5,0.44714
2262,470,Comanche (470),38.2081,-104.5747,COAL,7719128.84,1252.8,0.61669
2269,6021,Craig,40.4627,-107.5912,COAL,5845978.02,1427.6,0.37667
2306,525,Hayden,40.4856,-107.185,COAL,2947313.24,465.4,0.59876
2380,6248,Pawnee,40.2217,-103.6803,COAL,3424802.54,552.3,0.5605
2406,6761,Rawhide Energy Station,40.860905,-105.021207,COAL,1598761.98,800.4,0.21415
2408,8219,Ray D Nixon,38.633451,-104.70577,COAL,1177736.91,282.6,0.39444
2679,594,Indian River,38.5857,-75.2341,COAL,31823.3,464.1,0.0
2745,564,Curtis H. Stanton Energy Center,28.4822,-81.1678,COAL,4326902.6,1262.0,0.4772
2912,136,Seminole (136),29.733056,-81.632778,COAL,6488334.79,2612.4,0.43177
2981,703,Bowen,34.1256,-84.9222,COAL,11254936.06,3498.6,0.33373
3144,6257,Scherer,33.0606,-83.8075,COAL,8384347.74,2673.0,0.27595
3305,10864,Archer Daniels Midland Cedar Rapids,41.9221,-91.6875,COAL,525892.31,294.6,0.36509
3306,10860,Archer Daniels Midland Clinton,41.8206,-90.2097,COAL,404580.58,180.0,0.45223
3307,10861,Archer Daniels Midland Des Moines,41.624438,-93.584515,COAL,3873.42,7.9,0.08826
3376,1091,George Neal North,42.32517,-96.37971,COAL,1456039.95,584.1,0.24485
3377,7343,George Neal South,42.3006,-96.3617,COAL,897824.22,695.9,0.15311
3426,1047,Lansing,43.3359,-91.1675,COAL,0.0,274.5,0.0
3434,6664,Louisa,41.3181,-91.0931,COAL,4059763.76,811.9,0.50787
3455,1167,Muscatine,41.3917,-91.0569,COAL,348294.64,293.5,0.20961
3479,6254,Ottumwa,41.0961,-92.555833,COAL,3784418.3,725.9,0.49389
3493,1073,Prairie Creek,41.944039,-91.639167,COAL,98048.23,213.4,0.04368
3543,1082,Walter Scott Jr. Energy Center,41.18,-95.8408,COAL,6135065.35,1648.3,0.39478
3723,10865,Archer Daniels Midland Co.,39.870074,-88.890756,COAL,4093.98,335.0,0.30188
3727,889,Baldwin Energy Complex,38.205,-89.8544,COAL,6696268.15,1259.6,0.5346
3782,963,Dallman,39.754803,-89.602389,COAL,826455.07,437.4,0.16785
3869,876,Kincaid Generating Station,39.590556,-89.496389,COAL,2620649.87,1319.0,0.19293
3896,976,Marion,37.619747,-88.953114,COAL,1153810.63,249.0,0.32501
3925,6017,Newton,38.9361,-88.2781,COAL,3821911.39,617.4,0.5699
