Plant_ID,Plant_Name,Plant_Nameplate_Capacity,Cap_Factor,CO2EQ_2023,State_x,LAT,LON,Annual_MWh,CO2_Intensity,PV Gain (mil$),State_y
6002,James H Miller Jr,2822.0,0.641,18240458.877,Alabama,33.6319,-87.0597,15845981.52,1.1511094376815858,15454.247271826142,AL
2103,Labadie,2389.4,0.75402,16968046.544,Missouri,38.562244,-90.837686,15782501.198880002,1.075117709809148,14044.387128333738,MO
8102,Gen J M Gavin,2600.0,0.59406,14807112.823,Ohio,38.9347,-82.1158,13530310.56,1.0943660721857076,12690.578969478513,OH
6146,Martin Lake,2379.6,0.54315,14100303.882,Texas,32.2606,-94.5706,11322122.5224,1.2453763730346117,12232.709051043244,TX
1733,Monroe,3293.1,0.39778,12559107.624,Michigan,41.8906,-83.3464,11474980.825679999,1.0944774387678122,11609.683061027758,MI
6180,Oak Grove,1795.4,0.76373,13535141.984,Texas,31.1803,-96.4866,12011719.375920001,1.126828021901179,11199.395502086663,TX
3470,W A Parish,4008.4,0.30596,11003733.403,Texas,29.4828,-95.6311,10743352.160640001,1.0242364988568418,10946.63613820014,TX
703,Bowen,3498.6,0.33373,11254936.065,Georgia,34.1256,-84.9222,10228068.93528,1.1003969699674192,10837.55482096919,GA
3944,Harrison Power Station,2052.0,0.62266,12317582.323,West Virginia,39.384167,-80.3325,11192637.2832,1.100507593638233,10479.682835046442,WV
6204,Laramie River,1863.0,0.57996,12088731.307,Wyoming,42.108889,-104.8825,9464877.6048,1.277220035140163,10384.392938897648,WY
55856,Prairie State Generating Station,1766.0,0.80691,12529754.434,Illinois,38.279167,-89.666944,12483026.8056,1.0037432931233503,10253.906304398024,IL
6076,Colstrip,1647.4,0.74979,12086526.431,Montana,45.8831,-106.614,10820387.44296,1.1170142007127277,10021.653028545648,MT
3399,Cumberland,2600.0,0.37845,10396005.377,Tennessee,36.3903,-87.6539,8619577.200000001,1.2060922636669464,9637.555690360834,TN
1356,Ghent,2225.9,0.50115,10668009.809,Kentucky,38.7497,-85.035,9771865.716599999,1.091706550047825,9413.894653779764,KY
3935,John E Amos,2932.6,0.33205,9628951.311,West Virginia,38.4731,-81.8233,8530223.7108,1.1288040779996094,9256.189031300582,WV
6113,Gibson,3339.5,0.27247,9116824.979,Indiana,38.372222,-87.765833,7970842.829399999,1.1437717659383662,9216.501295512317,IN
8066,Jim Bridger,2326.0,0.40833,9887874.902,Wyoming,41.7378,-108.7875,8320034.080800001,1.1884416344901856,9034.930223858017,WY
2828,Cardinal,1880.4,0.58764,10197585.618,Ohio,40.2522,-80.6486,9679784.722560002,1.0534930176942052,8758.191835835643,OH
130,Cross,2390.1,0.40355,9377460.915,South Carolina,33.371506,-80.113235,8449237.7298,1.1098588079639664,8632.048873508946,SC
6257,Scherer,2673.0,0.27595,8384347.739,Georgia,33.0606,-83.8075,6461501.705999999,1.2975850074007549,8290.378608072018,GA
6179,Sam Seymour,1690.0,0.51642,9314911.037,Texas,29.9172,-96.7506,7645288.248,1.2183858521536808,8149.241344459028,TX
