Plant_ID,Plant_Name,Plant_Nameplate_Capacity,Cap_Factor,CO2EQ_2023,State_x,LAT,LON,Annual_MWh,CO2_Intensity,PV Gain (mil$),State_y
79,Aurora Energy LLC Chena,27.5,0.5951,138827.124,Alaska,64.847743,-147.735063,143359.59,0.9683839358078522,119.05781725319758,AK
50392,Eielson AFB Central Heat & Power Plant,26.0,0.38145,50514.212,Alaska,64.67141,-147.075988,86879.052,0.581431436429578,50.8036311141937,AK
6288,Healy Power Plant,92.8,0.46225,173641.674,Alaska,63.8542,-148.95,375775.968,0.4620882887327164,166.3019254234679,AK
50711,University of Alaska Fairbanks,39.6,0.19763,42092.457,Alaska,64.854171,-147.822075,68557.05648,0.6139770165348266,56.82213164471039,AK
50308,Utility Plants Section,20.0,0.36541,42207.378,Alaska,64.825601,-147.648627,64019.832,0.6592859850053964,42.3310006745329,AK
26,E C Gaston,2034.0,0.19081,3293190.853,Alabama,33.244211,-86.458056,3399822.0504,0.96863624159757,3898.375010305859,AL
6002,James H Miller Jr,2822.0,0.641,18240458.877,Alabama,33.6319,-87.0597,15845981.52,1.1511094376815858,15454.247271826142,AL
6138,Flint Creek Power Plant,558.0,0.42247,2510832.208,Arkansas,36.2561,-94.5241,2065067.1576,1.2158598323349754,2275.662528213279,AR
6641,Independence,1800.0,0.30081,6127938.61,Arkansas,35.678442,-91.408761,4743172.080000001,1.2919494605390742,5936.892745691166,AR
56564,John W. Turk Jr. Power Plant,609.0,0.58341,3190340.964,Arkansas,33.649722,-93.811944,3112399.0044,1.025042406031429,2744.13874543622,AR
56456,Plum Point Energy Station,720.0,0.53617,3720261.753,Arkansas,35.6644,-89.9489,3381731.4240000006,1.1001056224032058,3242.905849570612,AR
6009,White Bluff,1800.0,0.22583,4381738.76,Arkansas,34.4228,-92.1406,3560887.4400000004,1.230518749562047,4619.7061831490955,AR
160,Apache Station,660.7,0.34251,1488741.936,Arizona,32.0603,-109.8931,1982356.08732,0.7509962238987395,1497.640610734573,AZ
113,Cholla,425.9,0.47916,2287632.113,Arizona,34.9394,-110.3033,1787690.3774399997,1.2796578993035272,2022.6144813375904,AZ
